source_db	modulation	target_type	target_db	0
chebi	activator	complex	fplx	6
chebi	activator	protein	uniprot	50
chebi	activator	protein family	ec-code	2
chebi	activator	protein family	fplx	5
chebi	agonist	protein	uniprot	286
chebi	agonist	protein family	fplx	25
chebi	antagonist	protein	uniprot	254
chebi	antagonist	protein family	fplx	48
chebi	antagonist	protein family	hgnc.genefamily	18
chebi	antagonist	protein family	interpro	1
chebi	inhibitor	complex	fplx	42
chebi	inhibitor	complex	go	1
chebi	inhibitor	protein	prosite	1795
chebi	inhibitor	protein	uniprot	694966
chebi	inhibitor	protein family	ec-code	22417
chebi	inhibitor	protein family	fplx	6
chebi	inverse agonist	protein	uniprot	2
chebi	inverse agonist	protein family	fplx	1
chebi	negatively_regulates	pathway	go	146
chebi	positively_regulates	pathway	efo	6
chebi	positively_regulates	pathway	go	9
chebi	positively_regulates	pathway	ncit	37
